Наименование;Категории
ДНК микоплазмы (Mycoplasma genitalium);C
Холестерин липопротеидов низкой плотности (ЛПНП, LDL);C
Тестостерон общий;C
Ультразвуковое исследование полового члена;C
Медицинское заключение о допуске к участию в физкультурных и спортивных мероприятиях по оценке выполнения нормативов испытаний по форме 1144н;C
Ультразвуковое исследование сосудов полового члена;C
Триглицериды;C
Ультразвуковое исследование предстательной железы;C
Мезотерапия лица (ADN restart 4 мл.);C
ДНК хламидии (Chlamydia trachomatis);C
Холестерин липопротеидов высокой плотности (ЛПВП, HDL);C
Билирубин непрямой (включает определение общего и прямого билирубина);C
Авидность IgG к цитомегаловирусу (Cytomegalovirus) (включает определение антител к цитомегаловирусу, IgG);C
Вакцинации против кори/ Коревая вакцина;C
Организация продления медицинской книжки с аттестацией для работников пищевой промышленности;C
Посев на микрофлору отделяемого урогенитального тракта мужчины с определением чувствительности к расширенному спектру антибиотиков, в т.ч. кандида;C
Комбинированная механическая чистка лица + пиллинг;C
Антитела к капсидному антигену вируса Эпштейна-Барр (Epstein-Barr virus VCA), IgG;C
Антитела к микоплазме (Mycoplasma hominis), IgG;C
Получение соскоба из уретры;C
ДНК вируса гепатита B, кровь, колич.;C
ОКИ-тест (Shigella spp./ Salmonella spp./ Campylobacter spp./ Adenovirus F/ Rotavirus A/ Norovirus 2/ Astrovirus);C
Скрининг рака шейки матки, ко-тестирование: ПАП-тест (жидкостная цитология) и расширенный ВПЧ-тест 21 тип, колич.;C
Паратгормон;C
Прием (осмотр, консультация) врача-педиатра первичный;C
ДНК трихомонады (Trichomonas vaginalis);C
Билирубин общий;C
Прием (осмотр, консультация) врача-терапевта повторный;C
Железо;C
Витамин E (альфа-токоферол) в крови, ВЭЖХ-МС;C
Обследование щитовидной железы, скрининг;C
Посев мочи на микрофлору с определением чувствительности к расширенному спектру антибиотиков, в т.ч. кандида;C
Мочевина;C
Регевак взрослый/вакцина против вирусного гепатита В;C
Антитела к вирусу краснухи, IgM;C
Околосуставное введение лекарственных препаратов (без учета стоимости препарата);C
Выдача справки по форме 086/у;C
Регистрация и расшифровка ЭКГ 12 отведений + 3 дополнительных с нагрузкой;C
Баровоздействие - прессотерапия конечностей,пневмокомпрессия, тело, 45 минут;C
Женский Check-Up 25+;C
ДНК гонококка (Neisseria gonorrhoeae);C
Видеокольпоскопия;C
Медицинское заключение (справка) о беременности.;C
Выдача справки по форме 079/у с анализом в центре (соскоб на энтеробиоз);C
